,Unnamed: 0,date,qdpj,meidi,xpp,hksw,hryy,Rqdpj,Rmeidi,Rxpp,Rhksw,Rhryy
0,0,20210507,91.2,75.08,18.39,16.67,79.99,0.008257685238981516,-0.032497618656142535,-0.005963693468049147,-0.05030300217044026,-0.026279965290002316
1,1,20210506,90.45,77.56,18.5,17.53,82.12,-0.006172178747959833,-0.033097549680409344,-0.0699293697724479,0.006294727508786124,-0.023824974828169587
2,2,20210430,91.01,80.17,19.84,17.42,84.1,-0.01634735619396288,-0.03985857685912286,-0.10515888242798699,0.020882429360824073,0.021028110355253204
3,3,20210429,92.51,83.43,22.04,17.06,82.35,-0.004314535869993641,0.022791627846959983,0.000453823470461856,-0.01570256166398165,-0.006173980025606873
4,4,20210428,92.91,81.55,22.03,17.33,82.86,0.0009691488401912807,0.010229953021669402,0.012791403279559077,-0.04347283454426565,-0.0022903994100476055
5,5,20210427,92.82,80.72,21.75,18.1,83.05,0.008873556763989043,0.008584811666398906,-0.006872879287762146,0.007764875397726634,0.01859444714483427
6,6,20210426,92.0,80.03,21.9,17.96,81.52,-0.0065005646030931175,-0.04674717736366141,-0.00045651678491998027,0.029380644393219857,-0.017992218882128874
7,7,20210423,92.6,83.86,21.91,17.44,83.0,-0.018192047987278137,0.044001979732491314,-0.012247828314845943,-0.004005727816926985,0.00968530573446369
8,8,20210422,94.3,80.25,22.18,17.51,82.2,0.010875467037229747,0.008132669159787831,-0.0009013069560128706,-0.003989745959270152,-0.01185163225263075
9,9,20210421,93.28,79.6,22.2,17.58,83.18,0.035796052271916956,-0.0171881177536779,0.009049835519917782,0.02768342874841645,0.03511278811439489
10,10,20210420,90.0,80.98,22.0,17.1,80.31,0.0214506512085606,-0.008484526766169509,0.03186600724779032,-0.010471299867295336,-0.021922060159804246
11,11,20210419,88.09,81.67,21.31,17.28,82.09,0.0021592144305726535,0.02191088459795587,0.00517526443255889,0.008134850206276134,0.01806944867115501
12,12,20210416,87.9,79.9,21.2,17.14,80.62,0.010866563890839842,-0.0047446711559091526,0.018087118491143972,0.028404276430936903,-0.019165205766244142
13,13,20210415,86.95,80.28,20.82,16.66,82.18,-0.01608613775162482,0.0018702081381585245,0.004332136739134462,0.007833724905763617,-0.03983830326152571
14,14,20210414,88.36,80.13,20.73,16.53,85.52,0.015396323973983606,0.01813423324308694,0.0,-0.0006047777626121409,-0.03966135866110587
15,15,20210413,87.01,78.69,20.73,16.54,88.98,0.017389726410069528,-0.007722046093910251,-0.010556719920458146,0.00972061117062184,-0.00616213926816922
16,16,20210412,85.51,79.3,20.95,16.38,89.53,-0.005713968085643728,-0.014397744797589596,-0.007134394113874176,-0.01032502339814867,-0.018481132434221337
17,17,20210409,86.0,80.45,21.1,16.55,91.2,0.0038445902775547935,-0.02734186137517547,-0.003784299691239834,0.0018143337302398699,-0.013504888325893916
18,18,20210408,85.67,82.68,21.18,16.52,92.44,0.03600888116456957,-0.0004836759465511875,0.006631952303751465,0.012793351459909896,0.019222959766851844
19,19,20210407,82.64,82.72,21.04,16.31,90.68,-0.015727558712167244,-0.01986899593607383,-0.0033214739907201363,0.05029343944447495,-0.002423175544104872
20,20,20210406,83.95,84.38,21.11,15.51,90.9,-0.005701405157858552,-0.031841281134608046,0.001422138187067823,0.018217810281377034,-0.019392698380742424
21,21,20210402,84.43,87.11,21.08,15.23,92.68,0.0,0.019474360667273594,0.004755120705010274,0.0019717390548397162,-0.012545063468342832
22,22,20210401,84.43,85.43,20.98,15.2,93.85,-0.0024841794285803687,0.03817712818072305,-0.007597377473940625,0.003294895896852168,0.018931403299242255
