,date,青岛啤酒,美的,香飘飘,华科生物,恒瑞药业
0,20210507,91.2,75.08,18.39,16.67,79.99
1,20210506,90.45,77.56,18.5,17.53,82.12
2,20210430,91.01,80.17,19.84,17.42,84.1
3,20210429,92.51,83.43,22.04,17.06,82.35
4,20210428,92.91,81.55,22.03,17.33,82.86
5,20210427,92.82,80.72,21.75,18.1,83.05
6,20210426,92.0,80.03,21.9,17.96,81.52
7,20210423,92.6,83.86,21.91,17.44,83.0
8,20210422,94.3,80.25,22.18,17.51,82.2
9,20210421,93.28,79.6,22.2,17.58,83.18
10,20210420,90.0,80.98,22.0,17.1,80.31
11,20210419,88.09,81.67,21.31,17.28,82.09
12,20210416,87.9,79.9,21.2,17.14,80.62
13,20210415,86.95,80.28,20.82,16.66,82.18
14,20210414,88.36,80.13,20.73,16.53,85.52
15,20210413,87.01,78.69,20.73,16.54,88.98
16,20210412,85.51,79.3,20.95,16.38,89.53
17,20210409,86.0,80.45,21.1,16.55,91.2
18,20210408,85.67,82.68,21.18,16.52,92.44
19,20210407,82.64,82.72,21.04,16.31,90.68
20,20210406,83.95,84.38,21.11,15.51,90.9
21,20210402,84.43,87.11,21.08,15.23,92.68
22,20210401,84.43,85.43,20.98,15.2,93.85
23,20210331,84.64,82.23,21.14,15.15,92.09
24,20210330,83.8,82.47,21.15,15.0,93.6
25,20210329,83.8,81.47,21.48,15.1,90.53
26,20210326,81.5,82.01,21.17,14.96,91.22
27,20210325,79.95,80.68,20.94,14.83,87.23
28,20210324,78.95,81.68,21.23,14.89,86.52
29,20210323,79.8,81.47,20.66,14.99,87.65
30,20210322,78.81,83.38,20.3,15.04,88.11
31,20210319,79.72,85.31,20.21,14.85,88.05
32,20210318,80.75,86.71,20.45,14.76,89.21
33,20210317,78.2,84.07,20.54,14.86,88.62
34,20210316,75.16,82.58,20.29,14.73,89.19
35,20210315,74.12,82.3,20.12,14.73,89.59
36,20210312,77.0,85.96,20.0,14.56,92.19
37,20210311,78.46,85.95,20.47,14.58,93.48
38,20210310,74.75,83.66,20.2,14.47,93.4
39,20210309,75.02,81.99,20.07,15.12,91.78
40,20210308,76.14,85.5,20.32,15.71,92.12
41,20210305,76.9,89.5,20.46,15.75,100.3
42,20210304,75.97,89.9,20.23,15.67,100.5
43,20210303,78.7,93.49,20.54,15.71,101.35
44,20210302,78.07,93.52,20.39,15.7,98.35
45,20210301,79.19,93.33,20.7,15.77,100.31
46,20210226,79.63,93.08,19.85,15.65,101.8
47,20210225,81.88,93.94,19.93,15.56,101.05
48,20210224,84.28,95.02,20.69,15.72,99.7
49,20210223,87.2,90.94,20.57,15.83,100.7
50,20210222,89.2,90.44,21.58,16.15,100.01
51,20210219,91.0,97.99,22.86,16.08,105.16
52,20210218,91.93,98.3,21.75,15.79,104.9
53,20210210,95.78,107.11,22.1,15.85,109.2
54,20210209,97.06,101.9,22.33,15.43,109.74
55,20210208,94.18,96.66,22.19,15.16,106.28
56,20210205,97.74,97.25,21.6,15.21,107.3
57,20210204,95.03,96.4,22.59,15.38,102.8
58,20210203,97.0,97.64,22.39,15.37,105.0
59,20210202,96.9,98.58,22.48,15.74,106.0
60,20210201,94.51,98.2,21.91,15.99,102.55
61,20210129,88.79,96.33,19.92,15.87,103.76
62,20210128,88.52,95.16,18.11,16.35,104.66
63,20210127,92.83,97.95,18.31,17.27,106.62
64,20210126,96.16,97.94,18.66,17.2,107.0
65,20210125,97.0,101.98,18.5,18.22,111.45
66,20210122,93.44,100.57,18.73,18.83,112.6
67,20210121,90.68,100.1,19.01,17.97,108.15
68,20210120,90.67,96.28,19.16,17.09,105.97
69,20210119,88.0,94.85,19.69,17.07,104.95
70,20210118,91.95,99.12,19.02,17.24,107.83
71,20210115,93.13,99.69,18.67,17.23,109.83
72,20210114,96.97,99.6,18.26,17.0,110.18
73,20210113,100.5,103.34,18.66,17.39,112.57
74,20210112,104.48,104.1,19.3,17.28,114.1
75,20210111,104.5,101.0,19.65,16.02,111.3
76,20210108,106.5,103.01,20.53,16.02,113.22
77,20210107,109.61,104.82,20.56,15.71,115.0
78,20210106,108.95,100.96,21.28,16.21,113.72
79,20210105,108.0,101.54,21.91,15.93,113.23
80,20210104,102.48,99.01,21.15,15.81,111.2
81,20201231,99.4,98.44,21.14,15.42,111.46
82,20201230,99.66,95.98,21.3,16.76,112.7
83,20201229,99.12,95.19,21.24,16.76,108.28
84,20201228,98.1,95.8,21.15,16.73,111.0
85,20201225,98.0,93.58,21.17,16.94,115.01
86,20201224,97.92,92.89,21.95,17.04,108.8
87,20201223,99.8,92.0,22.56,17.49,106.0
88,20201222,100.6,89.75,23.12,17.99,106.2
89,20201221,99.82,88.81,23.08,17.52,107.86
90,20201218,101.0,89.3,23.11,17.42,105.66
91,20201217,103.9,89.67,23.3,17.71,105.18
92,20201216,107.05,88.1,23.92,17.39,97.01
93,20201215,106.77,85.73,22.38,17.2,97.02
94,20201214,107.52,84.44,22.49,17.2,90.11
95,20201211,101.14,84.0,21.76,16.77,89.5
96,20201210,98.68,85.1,22.84,17.37,89.0
97,20201209,98.09,83.56,22.58,17.41,88.24
98,20201208,98.2,86.7,23.21,17.91,90.07
99,20201207,98.52,88.06,23.69,17.88,89.88
100,20201204,96.23,88.36,23.37,18.18,91.32
101,20201203,93.21,89.6,22.3,18.34,89.99
102,20201202,90.98,89.91,22.57,18.32,87.53
103,20201201,91.1,87.92,22.49,18.22,87.61
104,20201130,91.0,86.85,22.6,17.83,85.99
105,20201127,89.19,87.8,22.41,18.0,86.95
106,20201126,87.93,87.02,20.37,18.22,86.0
107,20201125,87.79,89.56,20.27,18.25,86.13
108,20201124,94.0,90.65,20.89,18.63,87.17
109,20201123,93.1,93.47,21.28,18.94,86.12
110,20201120,91.15,91.59,21.49,18.62,86.91
111,20201119,87.03,94.0,21.27,18.53,87.3
112,20201118,84.77,89.29,21.3,18.75,86.61
113,20201117,85.67,89.92,21.31,18.93,85.53
114,20201116,86.62,89.36,21.58,18.55,85.63
115,20201113,84.95,90.52,22.04,18.41,85.5
116,20201112,86.55,90.6,22.76,18.41,86.55
117,20201111,83.94,88.1,22.24,18.3,86.17
118,20201110,83.9,89.66,22.38,18.84,87.95
119,20201109,81.43,90.72,21.81,19.28,89.37
120,20201106,80.61,90.14,21.42,18.71,88.89
121,20201105,81.7,86.11,22.06,19.81,91.2
122,20201104,80.55,85.66,22.05,19.78,90.17
123,20201103,79.44,82.55,22.91,20.13,90.15
124,20201102,80.11,83.4,23.3,19.9,89.23
125,20201030,79.22,77.87,22.43,19.94,88.84
126,20201029,87.5,81.18,23.72,20.47,91.04
127,20201028,83.2,76.71,24.05,19.51,91.36
128,20201027,79.59,75.71,24.47,19.6,89.23
129,20201026,79.0,76.66,23.7,19.65,89.18
130,20201023,80.97,75.11,23.53,19.32,88.15
131,20201022,78.7,78.4,23.84,19.73,89.56
132,20201021,77.9,77.5,24.08,19.93,89.58
133,20201020,75.7,76.3,24.5,20.19,91.01
134,20201019,74.53,75.0,24.27,19.85,91.52
135,20201016,75.4,74.8,24.75,20.65,93.1
136,20201015,76.0,76.1,25.06,20.53,93.16
137,20201014,74.15,75.25,25.3,21.18,93.0
138,20201013,76.49,75.89,26.1,19.25,93.7
139,20201012,75.1,73.98,25.0,19.1,94.2
140,20201009,74.62,73.39,25.0,18.65,91.95
141,20200930,75.11,72.6,23.33,18.12,89.82
142,20200929,72.08,72.45,24.07,17.86,89.89
143,20200928,71.49,70.9,24.52,17.51,88.58
144,20200925,73.51,70.3,25.1,18.0,88.45
145,20200924,72.41,70.46,25.21,18.25,87.86
146,20200923,74.15,71.07,25.52,18.66,89.84
147,20200922,74.3,69.89,24.85,18.21,89.3
148,20200921,74.92,70.03,24.81,18.02,88.5
149,20200918,76.21,70.28,24.77,18.0,88.98
150,20200917,75.9,70.6,24.55,17.65,86.29
151,20200916,78.65,69.66,24.5,17.78,89.74
152,20200915,78.85,70.42,25.3,18.09,91.1
153,20200914,77.95,68.0,24.93,17.97,91.36
154,20200911,76.77,66.18,25.06,18.06,91.81
155,20200910,75.24,65.9,25.15,17.4,90.74
156,20200909,74.98,64.86,25.18,17.79,90.3
157,20200908,77.01,66.88,26.2,18.86,92.33
158,20200907,78.4,66.7,26.66,18.62,91.6
159,20200904,81.5,68.79,27.5,19.29,93.51
160,20200903,85.34,70.93,27.96,20.33,95.0
161,20200902,84.45,70.93,28.26,20.44,94.7
162,20200901,86.3,71.7,28.39,20.4,93.99
163,20200831,87.36,70.54,28.75,20.47,94.87
164,20200828,91.0,70.28,28.0,20.85,95.39
165,20200827,87.62,67.99,27.29,20.43,94.11
166,20200826,82.59,69.29,27.2,20.11,94.58
167,20200825,82.19,69.98,27.99,20.5,93.99
168,20200824,82.0,70.37,27.59,20.53,92.42
169,20200821,82.0,69.38,30.3,20.46,91.8
170,20200820,77.39,69.04,28.8,20.46,91.7
171,20200819,80.6,70.12,28.4,20.45,92.73
172,20200818,79.45,71.8,28.17,21.05,93.4
173,20200817,77.2,72.13,27.9,21.3,90.9
174,20200814,74.9,72.04,27.7,21.06,89.5
175,20200813,74.61,70.01,27.66,20.62,88.88
176,20200812,74.7,69.66,26.55,20.94,90.01
177,20200811,76.44,71.3,27.21,21.72,91.78
178,20200810,76.83,72.0,27.4,22.6,90.79
